"Reference","Value","Footprint","Datasheet","Populate","URL","Qty"
"ANTENNA1","Screw_Terminal_01x02","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","~","no","https://www.digikey.com/en/products/detail/weidm%C3%BCller/1760510000/459739","1"
"C1, C4, C7","100nF","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~","no","https://www.digikey.com/en/products/detail/vishay-beyschlag-draloric-bc-components/K104K15X7RF5TL2/286538","3"
"C2, C3","220p","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~","yes","https://www.digikey.in/en/products/detail/vishay-beyschlag-draloric-bc-components/K221J15C0GF5TL2/286471","2"
"C8","100uF/16V","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","~","","https://www.digikey.com/en/products/detail/rubycon/16ZLH100MEFC5X11/3134106","1"
"D1","LED","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","~","","","1"
"H1-H4","MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~","","","4"
"JP1-JP3","Jumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm","~","","","3"
"L2","260nH (T50-6, ~8 turns)","footprints:T37-2","https://toroids.info/T50-6.php","no","https://kitsandparts.com/","1"
"R1","2.2k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","yes","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RNMF14FTC2K20/2617325","1"
"R2","470","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","","https://www.digikey.com/en/products/detail/yageo/MF0207FRE52-470R/9125108","1"
"RTC1","RTC_DS3231_Inverted","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Horizontal","","no","https://robu.in/product/1x40-berg-strip-right-angle-female-connector-5pcs/","1"
"TP1, TP2","TestPoint","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~","no","https://robu.in/product/1x40-berg-strip-male-connector/","2"
"TR1","T2-613-1+","footprints:KK81","~","","https://www.minicircuits.com/WebStore/dashboard.html?model=T2-613-1-KK81%2B","1"
"U1","Pico","footprints:RPi_Pico_SMD_TH","","no","https://www.digikey.com/en/products/detail/raspberry-pi/SC0918/16608263","1"
"U2","SI5351-Module-VFO (With TCXO)","footprints:SI5351 Module","","no","https://www.adafruit.com/product/2045","1"
"U3","74ACT244","Package_DIP:DIP-20_W7.62mm_LongPads","https://www.ti.com/product/SN74ACT244","no","https://www.digikey.com/en/products/detail/texas-instruments/SN74ACT244N/375910","1"
